Text,Domain,Predicted domain,Intent,Predicted intent,Slots,Predicted slots
and the darkness has fallen,iot,iot,iot_hue_lighton,iot_hue_lightoff,O O O O O,O O O O O
it's dirty here make some noise,iot,play,iot_cleaning,play_game,O O O O O O,O O O O O O
i want the status on my screen brightness,general,iot,general_quirky,iot_hue_lightchange,O O O O O O O O,O O O O O O O O
what's up olly,general,general,general_greet,general_quirky,O O O,O O O
olly tell me the time in g. m. t. plus five,datetime,datetime,datetime_convert,datetime_convert,O O O O O O B-time_zone I-time_zone I-time_zone I-time_zone I-time_zone,O O O O O O B-time_zone I-time_zone I-time_zone I-time_zone B-time_zone
what's the week's forecast,weather,weather,weather_query,weather_query,O O B-time O,O O B-date O
send a giggle my way,general,general,general_joke,general_quirky,O O O O O,O O O O O
play it again please,play,play,play_music,play_audiobook,O O O O,O O O O
play music from my rock list,play,play,play_music,play_music,O O O O B-playlist_name I-playlist_name,O O O O B-music_genre O
i feel like jazz right now how about you,play,music,play_music,play_music,O O O B-music_genre O O O O O,O O O B-music_genre O O O O O
what is the exchange rate of us dollar to pound sterling,news,qa,news_query,qa_currency,O O O B-news_topic I-news_topic I-news_topic I-news_topic I-news_topic I-news_topic I-news_topic I-news_topic,O O O O O O B-currency_name I-currency_name O B-currency_name I-currency_name
light up the lights in the kitchen,iot,iot,iot_hue_lighton,iot_hue_lightup,O O O O O O B-house_place,O O O O O O B-house_place
play a nirvana playlist,play,play,play_music,play_music,O O B-playlist_name I-playlist_name,O O B-artist_name O
what day is new year's eve this year,datetime,datetime,datetime_query,datetime_query,O O O O O O B-date I-date,O O O B-event_name I-event_name I-event_name B-date I-date
tell me the weather in barcelona in two days from now,weather,weather,weather_query,weather_query,O O O O O B-place_name O B-time I-time I-time I-time,O O O O O B-place_name O B-date I-date O O
enable my plug,iot,iot,iot_wemo_on,iot_wemo_on,O O B-device_type,O O O
seven years,play,general,play_music,general_quirky,B-song_name I-song_name,O O
what's sensational in time of india,news,news,news_query,news_query,O O O B-media_type I-media_type I-media_type,O O O O O B-place_name
start playing,play,play,play_music,play_audiobook,O O,O O
power up the plug socket one,iot,iot,iot_wemo_on,iot_wemo_on,O O O B-device_type I-device_type I-device_type,O O O B-device_type I-device_type O
get me the latest stock price for costco,news,qa,news_query,qa_stock,O O O O B-news_topic I-news_topic I-news_topic I-news_topic,O O O O O O O B-business_name
play the weekend,play,play,play_music,play_radio,O O B-song_name,O O B-date
by get marks,weather,qa,weather_query,lists_remove,O O O,O O O
prepare the order as soon as possible,takeaway,takeaway,takeaway_query,takeaway_order,O O O O O O O,O O O O O O O
please ring the wake up alarm at eight am next saturday,alarm,alarm,alarm_set,alarm_set,O O O B-alarm_type I-alarm_type O O B-time I-time O B-date,O O O B-timeofday I-time O O B-time I-time O B-date
